id,name,height_m,lat,lon,gridref,region
193,Sgurr Thuilm,963.0,56.93682,-5.38848,NM939879,Mallaig to Fort William
194,Ben Klibreck - Meall nan Con,962.1,58.23549,-4.4108,NC585299,Altnaharra to Dornoch
195,Sgorr Ruadh,960.7,57.49906,-5.40707,NG959505,Applecross to Achnasheen
196,Stuchd an Lochain,959.5,56.57102,-4.46989,NN483448,Loch Rannoch to Glen Lyon
197,Beinn Fhionnlaidh (Glen Creran),959.4,56.60084,-5.10407,NN095497,Loch Linnhe to Loch Etive
198,Meall Glas,959.3,56.45533,-4.54677,NN431321,Glen Lyon to Glen Dochart & Loch Tay
199,Beinn nan Aighenan,959.0,56.52043,-5.0113,NN148405,Glen Etive to Glen Lochy
200,Bruach na Frithe,958.8,57.24722,-6.21143,NG460252,Minginish and the Cuillin Hills
201,Saileag,958.2,57.18148,-5.28175,NH017148,Loch Duich to Cannich
202,Tolmount,957.8,56.90504,-3.29796,NO210800,Braemar to Montrose
203,Tom Buidhe,957.8,56.89341,-3.29264,NO213787,Braemar to Montrose
204,Buachaille Etive Beag - Stob Dubh,956.7,56.63827,-4.97012,NN179535,Loch Linnhe to Loch Etive
205,Sgurr nan Coireachan (Glenfinnan),956.3,56.93606,-5.44925,NM902880,Mallaig to Fort William
206,Càrn Ghluasaid,956.3,57.16621,-5.06861,NH145125,Glen Affric to Glen Moriston
207,Sgor Gaibhre,954.7,56.77258,-4.54695,NN444674,Loch Treig to Loch Ericht
208,Beinn Liath Mhòr Fannaich,954.2,57.70647,-4.98997,NH219724,The Fannaichs
209,Sgurr nan Coireachan (Glen Dessarry),953.8,57.0074,-5.40478,NM933958,Knoydart to Glen Kingie
210,Buachaille Etive Mòr - Stob na Bròige,953.4,56.62973,-4.95151,NN190525,Loch Linnhe to Loch Etive
211,Am Faochagach,952.8,57.77162,-4.85407,NH303793,Loch Broom to Strath Oykel
212,Beinn Mhanach,952.5,56.53413,-4.6464,NN373411,Loch Rannoch to Glen Lyon
213,Aonach Eagach - Meall Dearg,952.3,56.68063,-5.00285,NN161583,Loch Leven to Rannoch Station
214,Meall Chuaich,950.8,56.96401,-4.11255,NN716878,Loch Ericht to Glen Tromie & Glen Garry
215,Meall Gorm,949.7,57.68054,-4.98448,NH221695,The Fannaichs
216,Beinn Bhuidhe,948.5,56.32696,-4.90705,NN203187,Inveraray to Crianlarich
217,Sgurr Mhic Choinnich,948.1,57.20904,-6.22364,NG450210,Minginish and the Cuillin Hills
218,Driesh,947.6,56.84766,-3.19596,NO271735,Braemar to Montrose
219,Creag a' Mhaim,946.2,57.12077,-5.1607,NH087077,Glen Shiel to Loch Hourn and Loch Quoich
220,Beinn Tulaichean,945.8,56.34264,-4.56353,NN416196,Loch Lomond to Strathyre
221,Càrn Dearg (Monadh Liath),945.7,57.09184,-4.25352,NH635023,Glen Albyn and the Monadh Liath
222,Sgurr na Sgine,945.7,57.14697,-5.39611,NG946113,Glen Shiel to Loch Hourn and Loch Quoich
223,Meall Buidhe (Knoydart),945.5,57.03131,-5.54711,NM848989,Knoydart to Glen Kingie
224,Càrn Bhac,945.1,56.93079,-3.56014,NO051832,Pitlochry to Braemar & Blairgowrie
225,Stob a' Choire Odhair,945.0,56.57305,-4.83799,NN257459,Glen Etive to Glen Lochy
226,Bidein a' Choire Sheasgaich,945.0,57.41962,-5.24973,NH049412,Kyle of Lochalsh to Garve
227,Sgurr Dubh Mor,944.1,57.20495,-6.21157,NG457205,Minginish and the Cuillin Hills
228,Ben Vorlich (Loch Lomond),942.8,56.27383,-4.75439,NN295124,Inveraray to Crianlarich
